,Material,Plant|Time: Cal Yr/Month,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,Total Result
Total Inventory Qty,00854,FP07,60.00 CS,60.00 CS,60.00 CS,60.00 CS,60.00 CS,,,60.00 CS,60.00 CS,,,,420.00 CS
Total Inventory Qty,00854,FP13,"2,572.00 CS","2,572.00 CS","2,491.00 CS","2,435.00 CS","2,432.00 CS","2,319.00 CS","2,314.00 CS","2,150.00 CS","1,980.00 CS","1,977.00 CS","1,974.00 CS","1,974.00 CS","27,190.00 CS"
Total Inventory Qty,00855,FP01,,,40.00 CS,,,,,,,,360.00 CS,,400.00 CS
Total Inventory Qty,00855,FP07,89.00 CS,140.00 CS,112.00 CS,188.00 CS,1.00 CS,33.00 CS,52.00 CS,142.00 CS,49.00 CS,40.00 CS,104.00 CS,1.00 CS,951.00 CS
Total Inventory Qty,00855,FP13,"13,174.00 CS","3,546.00 CS","3,570.00 CS","6,548.00 CS",585.00 CS,"2,380.00 CS","2,992.00 CS","2,179.00 CS","1,563.00 CS",738.00 CS,"2,437.00 CS","3,365.00 CS","43,077.00 CS"
Total Inventory Qty,00855,FP14,,"1,971.00 CS",43.00 CS,,"1,280.00 CS",280.00 CS,,440.00 CS,,240.00 CS,210.00 CS,"1,105.00 CS","5,569.00 CS"
Total Inventory Qty,00857,FP03,0.07 CS,0.07 CS,0.07 CS,0.17 CS,0.17 CS,0.17 CS,,,,1.00 CS,1.00 CS,1.00 CS,3.70 CS
Total Inventory Qty,00857,FP07,94.00 CS,55.00 CS,,94.00 CS,,,,149.00 CS,103.00 CS,3.00 CS,,,498.00 CS
Total Inventory Qty,00857,FP13,"8,279.00 CS","2,875.00 CS","1,286.00 CS","3,419.00 CS",684.00 CS,,"1,002.00 CS","3,521.00 CS","2,860.00 CS","2,260.00 CS","3,315.00 CS","1,141.00 CS","30,642.00 CS"
Total Inventory Qty,00857,FP14,,770.00 CS,84.00 CS,,240.00 CS,,120.00 CS,,,,,340.00 CS,"1,554.00 CS"
Total Inventory Qty,00862,FP13,,,,,,,,,"3,685.00 CS",,,,"3,685.00 CS"
Total Inventory Qty,00864,FP03,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,,,,9.00 CS
Total Inventory Qty,00864,FP07,"2,005.00 CS","2,005.00 CS","2,005.00 CS","2,005.00 CS","2,004.00 CS","1,439.00 CS","1,439.00 CS","1,027.00 CS",,114.00 CS,,,"14,043.00 CS"
Total Inventory Qty,00864,FP13,"2,623.00 CS",38.00 CS,38.00 CS,,,,,,,,,,"2,699.00 CS"
Total Inventory Qty,00866,FP07,50.00 CS,50.00 CS,50.00 CS,50.00 CS,50.00 CS,50.00 CS,50.00 CS,,,,,,350.00 CS
Total Inventory Qty,00866,FP13,"4,387.00 CS","4,337.00 CS","4,337.00 CS",,,,,,,,,,"13,061.00 CS"
Total Inventory Qty,00874,FP13,100.00 CS,100.00 CS,100.00 CS,100.00 CS,100.00 CS,100.00 CS,100.00 CS,100.00 CS,,,,,800.00 CS
Total Inventory Qty,00875,FP01,,,,,,,,0.39 CS,0.39 CS,,,,0.77 CS
Total Inventory Qty,00875,FP03,0.67 CS,0.67 CS,0.67 CS,0.67 CS,0.67 CS,0.67 CS,,,,,,,4.00 CS
Total Inventory Qty,00875,FP07,34.00 CS,31.00 CS,331.00 CS,331.00 CS,331.00 CS,331.00 CS,331.00 CS,300.00 CS,300.00 CS,300.00 CS,300.00 CS,300.00 CS,"3,220.00 CS"
Total Inventory Qty,00875,FP13,"18,040.00 CS","15,910.00 CS","12,214.00 CS","9,946.00 CS","6,486.00 CS","7,281.00 CS","5,092.00 CS","3,341.00 CS","2,435.00 CS",784.00 CS,"3,104.00 CS","2,870.00 CS","87,503.00 CS"
Total Inventory Qty,00875,FP14,,,,,,,50.00 CS,50.00 CS,,,,,100.00 CS
Total Inventory Qty,00880,FP03,,,,,,,0.67 CS,0.67 CS,0.67 CS,1.00 CS,1.00 CS,1.00 CS,5.00 CS
Total Inventory Qty,00880,FP07,"17,208.00 CS","13,224.00 CS","11,537.00 CS","11,281.00 CS","6,629.00 CS","4,341.00 CS","1,867.00 CS","10,616.00 CS","6,798.00 CS",442.00 CS,727.00 CS,"4,228.00 CS","88,898.00 CS"
Total Inventory Qty,00880,FP13,932.00 CS,"2,093.00 CS",543.00 CS,415.00 CS,"1,459.00 CS",268.00 CS,"1,323.00 CS",596.00 CS,"1,107.00 CS","2,950.00 CS",49.00 CS,"2,376.00 CS","14,111.00 CS"
Total Inventory Qty,00880,FP14,,,10.00 CS,,,700.00 CS,,,,,500.00 CS,,"1,210.00 CS"
Total Inventory Qty,00881,FP07,"3,566.00 CS","3,487.00 CS","2,760.00 CS","2,592.00 CS","2,492.00 CS","1,747.00 CS","1,599.00 CS","1,043.00 CS",920.00 CS,558.00 CS,465.00 CS,335.00 CS,"21,564.00 CS"
Total Inventory Qty,00881,FP13,396.00 CS,187.00 CS,671.00 CS,514.00 CS,196.00 CS,627.00 CS,227.00 CS,521.00 CS,501.00 CS,236.00 CS,219.00 CS,212.00 CS,"4,507.00 CS"
Total Inventory Qty,00882,FP03,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,,,,,,,6.00 CS
Total Inventory Qty,00882,FP13,"2,108.00 CS","2,108.00 CS",,,"2,400.00 CS",237.00 CS,,,,,,,"6,853.00 CS"
Total Inventory Qty,00883,FP03,0.83 CS,0.83 CS,0.83 CS,0.83 CS,0.83 CS,0.83 CS,,,,,,,5.00 CS
Total Inventory Qty,00883,FP07,,,,,,,,,100.00 CS,150.00 CS,150.00 CS,150.00 CS,550.00 CS
Total Inventory Qty,00883,FP13,"5,427.00 CS","4,167.00 CS","6,497.00 CS","6,497.00 CS","5,246.00 CS","5,251.00 CS","4,800.00 CS","5,756.00 CS","4,598.00 CS","5,388.00 CS","6,079.00 CS","6,017.00 CS","65,723.00 CS"
Total Inventory Qty,00886,FP13,106.00 CS,106.00 CS,106.00 CS,106.00 CS,106.00 CS,106.00 CS,106.00 CS,106.00 CS,106.00 CS,106.00 CS,106.00 CS,106.00 CS,"1,272.00 CS"
Total Inventory Qty,00890,FP01,,,116.00 CS,,,,,,,,,,116.00 CS
Total Inventory Qty,00890,FP03,0.33 CS,0.33 CS,0.33 CS,1.50 CS,1.33 CS,1.83 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,11.67 CS
Total Inventory Qty,00890,FP07,156.00 CS,154.00 CS,99.00 CS,34.00 CS,11.00 CS,100.00 CS,132.00 CS,32.00 CS,130.00 CS,300.00 CS,600.00 CS,449.00 CS,"2,197.00 CS"
Total Inventory Qty,00890,FP13,"1,390.00 CS","1,290.00 CS",233.00 CS,370.00 CS,,808.00 CS,452.00 CS,,"1,177.00 CS",653.00 CS,"2,370.00 CS","2,224.00 CS","10,967.00 CS"
Total Inventory Qty,00901,FM01,,,50.00 CS,,100.00 CS,248.00 CS,900.00 CS,900.00 CS,900.00 CS,100.72 CS,,,"3,198.72 CS"
Total Inventory Qty,00901,FP03,,,,,0.92 CS,0.92 CS,0.28 CS,0.28 CS,0.28 CS,2.00 CS,2.00 CS,2.00 CS,8.68 CS
Total Inventory Qty,00901,FP07,"14,088.00 CS","6,995.00 CS","13,261.00 CS","6,826.00 CS","13,657.00 CS","15,697.00 CS","13,466.00 CS","10,892.00 CS","11,848.00 CS","13,013.00 CS","13,146.00 CS","16,822.00 CS","1,49,711.00 CS"
Total Inventory Qty,00901,FP13,"4,581.00 CS","8,219.00 CS","5,635.00 CS","6,568.00 CS","4,925.00 CS","2,095.00 CS","2,027.00 CS","2,016.00 CS","2,198.00 CS","1,985.00 CS","1,026.00 CS","1,974.00 CS","43,249.00 CS"
Total Inventory Qty,00901,FP14,20.00 CS,800.00 CS,350.00 CS,,,"1,200.00 CS",,,,,,,"2,370.00 CS"
Total Inventory Qty,00902,FP03,0.20 CS,0.20 CS,0.20 CS,0.40 CS,0.40 CS,0.40 CS,0.36 CS,0.36 CS,0.36 CS,0.60 CS,0.60 CS,0.60 CS,4.68 CS
Total Inventory Qty,00902,FP07,149.00 CS,326.00 CS,,"1,100.00 CS",350.00 CS,"1,542.00 CS","1,291.00 CS","1,779.00 CS",501.00 CS,"1,708.00 CS","1,605.00 CS",755.00 CS,"11,106.00 CS"
Total Inventory Qty,00902,FP13,738.00 CS,894.00 CS,559.00 CS,211.00 CS,265.00 CS,924.00 CS,727.00 CS,497.00 CS,"1,661.00 CS","1,384.00 CS","1,231.00 CS",782.00 CS,"9,873.00 CS"
Total Inventory Qty,00904,FP07,341.00 CS,231.00 CS,183.00 CS,563.00 CS,362.00 CS,361.00 CS,311.00 CS,281.00 CS,261.00 CS,231.00 CS,181.00 CS,183.00 CS,"3,489.00 CS"
Total Inventory Qty,00904,FP13,283.00 CS,228.00 CS,183.00 CS,175.00 CS,313.00 CS,313.00 CS,214.00 CS,214.00 CS,205.00 CS,650.00 CS,650.00 CS,649.00 CS,"4,077.00 CS"
Total Inventory Qty,00905,FP07,52.00 CS,1.00 CS,,,,,,,,,,,53.00 CS
Total Inventory Qty,00905,FP13,838.00 CS,818.00 CS,734.00 CS,734.00 CS,126.00 CS,145.00 CS,145.00 CS,145.00 CS,126.00 CS,126.00 CS,126.00 CS,126.00 CS,"4,189.00 CS"
Total Inventory Qty,00906,FP03,,,,0.80 CS,0.80 CS,0.80 CS,1.00 CS,1.00 CS,1.00 CS,2.00 CS,2.00 CS,2.00 CS,11.40 CS
Total Inventory Qty,00906,FP07,,19.00 CS,50.00 CS,50.00 CS,6.00 CS,50.00 CS,88.00 CS,33.00 CS,,50.00 CS,50.00 CS,50.00 CS,446.00 CS
Total Inventory Qty,00906,FP13,231.00 CS,63.00 CS,222.00 CS,5.00 CS,240.00 CS,162.00 CS,212.00 CS,3.00 CS,,100.00 CS,35.00 CS,31.00 CS,"1,304.00 CS"
Total Inventory Qty,00910,FM01,,,,100.00 CS,,,,,,,,,100.00 CS
Total Inventory Qty,00910,FP03,0.40 CS,0.40 CS,0.40 CS,0.40 CS,0.20 CS,0.20 CS,,,,,,,2.00 CS
Total Inventory Qty,00910,FP07,187.00 CS,100.00 CS,19.00 CS,"1,150.00 CS",450.00 CS,286.00 CS,35.00 CS,229.00 CS,1.00 CS,,,,"2,457.00 CS"
Total Inventory Qty,00910,FP13,362.00 CS,338.00 CS,67.00 CS,44.00 CS,517.00 CS,488.00 CS,298.00 CS,394.00 CS,361.00 CS,236.00 CS,196.00 CS,167.00 CS,"3,468.00 CS"
Total Inventory Qty,00911,FP07,347.00 CS,,,,,,,,,,,,347.00 CS
Total Inventory Qty,00911,FP13,26.00 CS,,,,,,,,,,,,26.00 CS
Total Inventory Qty,00921,FP13,772.00 CS,"1,771.00 CS","2,978.00 CS","2,978.00 CS","2,690.00 CS","2,354.00 CS","1,778.00 CS","1,488.00 CS","1,220.00 CS","1,220.00 CS","1,220.00 CS","1,220.00 CS","21,689.00 CS"
Total Inventory Qty,00923,FP03,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,12.00 CS
Total Inventory Qty,00923,FP07,105.00 CS,105.00 CS,105.00 CS,1.00 CS,1.00 CS,46.00 CS,21.00 CS,14.00 CS,14.00 CS,14.00 CS,14.00 CS,14.00 CS,454.00 CS
Total Inventory Qty,00923,FP13,439.00 CS,429.00 CS,,,,"1,263.00 CS","2,208.00 CS","1,410.00 CS","1,383.00 CS","1,383.00 CS","1,383.00 CS","1,383.00 CS","11,281.00 CS"
Total Inventory Qty,00925,FP03,,,,,,,2.00 CS,2.00 CS,2.00 CS,2.93 CS,2.93 CS,2.93 CS,14.80 CS
Total Inventory Qty,00925,FP07,"3,278.00 CS","3,104.00 CS","2,775.00 CS","2,648.00 CS","2,559.00 CS","1,211.00 CS",,"1,050.00 CS","1,502.00 CS","1,390.00 CS",626.00 CS,171.00 CS,"20,314.00 CS"
Total Inventory Qty,00925,FP13,"8,352.00 CS","5,704.00 CS","2,680.00 CS","4,460.00 CS","4,993.00 CS","4,124.00 CS","2,485.00 CS",693.00 CS,"3,132.00 CS","1,552.00 CS",394.00 CS,106.00 CS,"38,675.00 CS"
Total Inventory Qty,00925,FP14,,75.00 CS,,,,,,,,,,,75.00 CS
Total Inventory Qty,00960,FP03,,,,,,,1.00 CS,1.00 CS,1.00 CS,1.27 CS,1.27 CS,1.27 CS,6.80 CS
Total Inventory Qty,00960,FP07,"10,941.00 CS","10,489.00 CS","9,245.00 CS","8,911.00 CS","8,771.00 CS","8,381.00 CS","7,840.00 CS","7,424.00 CS","7,051.00 CS","6,758.00 CS","3,196.00 CS",883.00 CS,"89,890.00 CS"
Total Inventory Qty,00960,FP13,"15,904.00 CS","15,977.00 CS","13,609.00 CS","12,633.00 CS","12,052.00 CS","10,413.00 CS","8,125.00 CS","10,740.00 CS","10,643.00 CS","7,509.00 CS","3,701.00 CS","3,946.00 CS","1,25,252.00 CS"
Total Inventory Qty,00960,FP14,700.00 CS,"1,903.00 CS",530.00 CS,,350.00 CS,,,"1,200.00 CS",350.00 CS,99.00 CS,962.00 CS,,"6,094.00 CS"
Total Inventory Qty,00979,FP13,45.00 CS,44.00 CS,44.00 CS,36.00 CS,,,,971.00 CS,829.00 CS,540.00 CS,269.00 CS,305.00 CS,"3,083.00 CS"
Total Inventory Qty,00979,FP14,,,,,,,,,216.00 CS,,48.00 CS,,264.00 CS
Total Inventory Qty,00980,FM01,,40.00 CS,,40.00 CS,,"2,767.73 CS","3,490.00 CS",225.05 CS,223.08 CS,,,,"6,785.85 CS"
Total Inventory Qty,00980,FP01,356.93 CS,"2,990.84 CS",160.43 CS,226.72 CS,20.00 CS,,,,,,,,"3,754.90 CS"
Total Inventory Qty,00980,FP03,0.75 CS,0.75 CS,0.75 CS,2.00 CS,2.00 CS,2.00 CS,,,,,,,8.25 CS
Total Inventory Qty,00980,FP07,"36,078.00 CS","30,799.00 CS","26,733.00 CS","28,205.00 CS","28,203.00 CS","18,226.00 CS","15,022.00 CS","2,495.00 CS","1,936.00 CS","1,450.00 CS","1,715.00 CS","1,644.00 CS","1,92,506.00 CS"
Total Inventory Qty,00980,FP13,"2,904.00 CS","5,138.00 CS","6,527.00 CS","2,788.00 CS","2,852.00 CS","2,749.00 CS","2,703.00 CS","3,640.00 CS","3,634.00 CS","3,981.00 CS","6,652.00 CS","6,723.00 CS","50,291.00 CS"
Total Inventory Qty,00980,FP14,,,26.00 CS,,,,,,,,440.00 CS,,466.00 CS
Total Inventory Qty,01004,FP07,60.00 CS,49.00 CS,43.00 CS,53.00 CS,69.00 CS,64.00 CS,59.00 CS,116.00 CS,70.00 CS,59.00 CS,59.00 CS,59.00 CS,760.00 CS
Total Inventory Qty,01004,FP13,44.00 CS,,90.00 CS,38.00 CS,31.00 CS,31.00 CS,,45.00 CS,2.00 CS,2.00 CS,2.00 CS,,285.00 CS
Total Inventory Qty,01010,FM01,,,,,908.77 CS,200.00 CS,187.00 CS,187.00 CS,187.00 CS,150.00 CS,150.00 CS,150.00 CS,"2,119.77 CS"
Total Inventory Qty,01010,FP07,"41,670.99 CS","34,927.00 CS","34,184.00 CS","29,498.00 CS","21,046.00 CS","14,703.00 CS","12,595.00 CS","7,432.00 CS","6,484.00 CS","5,850.00 CS","1,544.00 CS","8,493.00 CS","2,18,426.99 CS"
Total Inventory Qty,01010,FP13,"2,179.00 CS","3,500.00 CS","1,433.00 CS","3,117.00 CS","3,284.00 CS","1,934.00 CS",699.67 CS,"1,591.00 CS",24.00 CS,480.00 CS,"1,443.00 CS","1,745.00 CS","21,429.67 CS"
Total Inventory Qty,01010,FP14,,25.00 CS,44.00 CS,,,350.00 CS,,148.00 CS,"1,400.00 CS",63.00 CS,,,"2,030.00 CS"
Total Inventory Qty,01011,FP01,,14.00 CS,,,,,,,,,,,14.00 CS
Total Inventory Qty,01011,FP03,,,,2.00 CS,2.00 CS,2.00 CS,,,,,,,6.00 CS
Total Inventory Qty,01011,FP13,"2,916.00 CS",461.00 CS,"2,541.00 CS","2,645.00 CS","1,050.00 CS",267.00 CS,"1,885.00 CS",535.00 CS,72.00 CS,71.00 CS,71.00 CS,71.00 CS,"12,585.00 CS"
Total Inventory Qty,01011,FP14,,125.00 CS,,,,329.00 CS,,,,,,,454.00 CS
Total Inventory Qty,01026,FP07,,,,,,,,,,,10.00 CS,21.00 CS,31.00 CS
Total Inventory Qty,01029,FP03,,,,,1.00 CS,1.00 CS,,,,,,,2.00 CS
Total Inventory Qty,01029,FP07,60.00 CS,49.00 CS,42.00 CS,38.00 CS,17.00 CS,71.00 CS,64.00 CS,22.00 CS,37.00 CS,13.00 CS,7.00 CS,5.00 CS,425.00 CS
Total Inventory Qty,01029,FP13,782.00 CS,752.00 CS,752.00 CS,627.00 CS,593.00 CS,472.00 CS,187.00 CS,180.00 CS,140.00 CS,43.00 CS,11.00 CS,9.00 CS,"4,548.00 CS"
Total Inventory Qty,01030,FP07,154.00 CS,113.00 CS,94.00 CS,68.00 CS,38.00 CS,38.00 CS,36.00 CS,25.00 CS,2.00 CS,2.00 CS,1.00 CS,1.00 CS,572.00 CS
Total Inventory Qty,01031,FP01,,822.00 CS,,24.00 CS,,,,40.00 CS,,70.00 CS,,,956.00 CS
Total Inventory Qty,01031,FP03,0.57 CS,0.57 CS,0.57 CS,1.00 CS,1.00 CS,3.00 CS,1.00 CS,3.00 CS,3.00 CS,2.00 CS,2.00 CS,2.00 CS,19.71 CS
Total Inventory Qty,01031,FP07,5.00 CS,5.00 CS,5.00 CS,5.00 CS,5.00 CS,5.00 CS,44.00 CS,39.00 CS,35.00 CS,34.00 CS,34.00 CS,34.00 CS,250.00 CS
Total Inventory Qty,01031,FP13,"1,897.00 CS",,,573.00 CS,"1,348.00 CS",589.00 CS,929.00 CS,778.00 CS,"1,988.00 CS",387.00 CS,"1,901.00 CS",942.00 CS,"11,332.00 CS"
Total Inventory Qty,01032,FP03,,,,,,,0.92 CS,0.92 CS,0.92 CS,,,,2.75 CS
Total Inventory Qty,01032,FP07,"1,704.00 CS","1,093.00 CS","2,355.00 CS",260.00 CS,"3,839.00 CS","3,909.00 CS","3,190.00 CS","2,798.00 CS",698.00 CS,700.00 CS,1.00 CS,,"20,547.00 CS"
Total Inventory Qty,01032,FP13,"2,142.00 CS","3,988.00 CS","3,022.00 CS","5,876.00 CS","10,243.00 CS","5,644.00 CS","7,454.00 CS","2,569.00 CS","4,260.00 CS",790.00 CS,,,"45,988.00 CS"
Total Inventory Qty,01035,FP03,,,,,2.00 CS,,0.77 CS,0.77 CS,0.77 CS,1.00 CS,1.00 CS,1.00 CS,7.30 CS
Total Inventory Qty,01035,FP07,87.00 CS,62.00 CS,52.00 CS,42.00 CS,22.00 CS,71.00 CS,40.00 CS,119.00 CS,108.00 CS,,31.00 CS,31.00 CS,665.00 CS
Total Inventory Qty,01035,FP13,"2,346.00 CS","1,440.00 CS","1,140.00 CS",254.00 CS,"1,871.00 CS","1,078.00 CS","1,258.00 CS",826.00 CS,120.00 CS,"1,780.00 CS",,,"12,113.00 CS"
Total Inventory Qty,01035,FP14,250.00 CS,150.00 CS,,,300.00 CS,300.00 CS,,,,,,,"1,000.00 CS"
Total Inventory Qty,01036,FP13,642.00 CS,736.00 CS,"1,294.00 CS","1,294.00 CS","1,294.00 CS",44.00 CS,"1,755.00 CS","2,972.00 CS","1,802.00 CS","1,802.00 CS",552.00 CS,552.00 CS,"14,739.00 CS"
Total Inventory Qty,01042,FP03,,,,1.00 CS,1.00 CS,1.00 CS,1.27 CS,1.27 CS,1.27 CS,,,,6.80 CS
Total Inventory Qty,01042,FP05,122.00 CS,,,,,,,,,,800.00 CS,800.00 CS,"1,722.00 CS"
Total Inventory Qty,01042,FP07,52.00 CS,133.00 CS,131.00 CS,120.00 CS,409.00 CS,398.00 CS,371.00 CS,365.00 CS,39.00 CS,58.00 CS,44.00 CS,42.00 CS,"2,162.00 CS"
Total Inventory Qty,01042,FP13,"4,491.00 CS","3,029.00 CS","1,650.00 CS","1,196.00 CS","3,181.00 CS","1,775.00 CS","1,751.00 CS",386.00 CS,192.00 CS,158.00 CS,"3,006.00 CS","1,736.00 CS","22,551.00 CS"
Total Inventory Qty,01043,FP03,,1.00 CS,1.00 CS,1.00 CS,0.83 CS,0.83 CS,0.83 CS,,,,,,5.50 CS
Total Inventory Qty,01043,FP07,26.00 CS,,,,,,,,,,,,26.00 CS
Total Inventory Qty,01043,FP13,452.00 CS,358.00 CS,340.00 CS,,,,,,,,,,"1,150.00 CS"
Total Inventory Qty,01049,FP07,,,,,,,,,,,"2,618.00 CS",686.00 CS,"3,304.00 CS"
Total Inventory Qty,01050,FP07,76.00 CS,76.00 CS,71.00 CS,19.00 CS,13.00 CS,,30.00 CS,30.00 CS,30.00 CS,"13,143.00 CS","1,714.00 CS",509.00 CS,"15,711.00 CS"
Total Inventory Qty,01050,FP13,,,,,30.00 CS,30.00 CS,,,"1,410.00 CS",,390.00 CS,3.00 CS,"1,863.00 CS"
Total Inventory Qty,01050,FP14,,,,,,,,,40.00 CS,,,,40.00 CS
Total Inventory Qty,01052,FP07,329.00 CS,328.00 CS,327.00 CS,312.00 CS,302.00 CS,302.00 CS,302.00 CS,315.00 CS,313.00 CS,"3,777.00 CS","6,161.00 CS","3,450.00 CS","16,218.00 CS"
Total Inventory Qty,01052,FP13,,,21.00 CS,21.00 CS,13.00 CS,13.00 CS,13.00 CS,,,72.00 CS,"1,968.00 CS",45.00 CS,"2,166.00 CS"
Total Inventory Qty,01053,FP07,2.00 CS,2.00 CS,2.00 CS,,,,,,,,"1,919.00 CS",985.00 CS,"2,910.00 CS"
Total Inventory Qty,01053,FP13,,,88.00 CS,,,,,,,,"2,697.00 CS",,"2,785.00 CS"
Total Inventory Qty,01054,FP07,152.00 CS,147.00 CS,185.00 CS,240.00 CS,238.00 CS,238.00 CS,,,,12.00 CS,"18,753.00 CS","6,038.00 CS","26,003.00 CS"
Total Inventory Qty,01055,FP07,627.00 CS,627.00 CS,624.00 CS,591.00 CS,591.00 CS,591.00 CS,591.00 CS,,591.00 CS,590.00 CS,590.00 CS,,"6,013.00 CS"
Total Inventory Qty,01055,FP13,,,69.00 CS,69.00 CS,61.00 CS,61.00 CS,61.00 CS,61.00 CS,61.00 CS,59.00 CS,59.00 CS,67.00 CS,628.00 CS
Total Inventory Qty,01057,FP07,"3,944.00 CS","3,944.00 CS","3,944.00 CS","3,944.00 CS","3,944.00 CS","3,944.00 CS","3,923.00 CS","3,923.00 CS","3,923.00 CS","3,922.00 CS","3,922.00 CS",200.00 CS,"43,477.00 CS"
Total Inventory Qty,01058,FP07,"4,313.00 CS","4,313.00 CS","4,312.00 CS","4,312.00 CS","4,312.00 CS","4,312.00 CS","4,305.00 CS","4,305.00 CS","4,305.00 CS","4,305.00 CS","4,305.00 CS",,"47,399.00 CS"
Total Inventory Qty,01059,FP07,"3,063.00 CS","3,063.00 CS","3,059.00 CS","3,057.00 CS","3,057.00 CS","3,057.00 CS",,,,,,,"18,356.00 CS"
Total Inventory Qty,01066,FP07,45.00 CS,44.00 CS,43.00 CS,43.00 CS,43.00 CS,43.00 CS,43.00 CS,"3,095.00 CS","3,089.00 CS",373.00 CS,277.00 CS,277.00 CS,"7,415.00 CS"
Total Inventory Qty,01067,FP07,244.00 CS,244.00 CS,244.00 CS,244.00 CS,244.00 CS,244.00 CS,"5,563.00 CS","8,095.00 CS","6,634.00 CS",126.00 CS,126.00 CS,126.00 CS,"22,134.00 CS"
Total Inventory Qty,01068,FP07,113.00 CS,113.00 CS,113.00 CS,113.00 CS,113.00 CS,113.00 CS,113.00 CS,"5,105.00 CS","3,648.00 CS",17.00 CS,17.00 CS,17.00 CS,"9,595.00 CS"
Total Inventory Qty,01068,FP13,,,,,,,"5,088.00 CS",,,,,,"5,088.00 CS"
Total Inventory Qty,01069,FP07,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,,,"12,433.00 CS","8,741.00 CS","1,165.00 CS","1,165.00 CS","1,165.00 CS","24,674.00 CS"
Total Inventory Qty,01069,FP13,,,,,,,,240.00 CS,,,,,240.00 CS
Total Inventory Qty,01069,FP14,,,,,,,,240.00 CS,,,,,240.00 CS
Total Inventory Qty,01073,FP13,331.00 CS,"1,483.00 CS","3,102.00 CS","1,442.00 CS",595.00 CS,426.00 CS,378.00 CS,378.00 CS,378.00 CS,,,,"8,513.00 CS"
Total Inventory Qty,01073,FP14,,,40.00 CS,,,,,,,,,,40.00 CS
Total Inventory Qty,01074,FP03,17.40 CS,11.40 CS,11.40 CS,11.40 CS,11.40 CS,11.40 CS,11.40 CS,11.40 CS,11.40 CS,11.40 CS,11.40 CS,11.40 CS,142.80 CS
Total Inventory Qty,01075,FP07,,90.00 CS,90.00 CS,90.00 CS,90.00 CS,90.00 CS,90.00 CS,90.00 CS,90.00 CS,90.00 CS,90.00 CS,90.00 CS,990.00 CS
Total Inventory Qty,01075,FP13,510.00 CS,196.00 CS,196.00 CS,196.00 CS,196.00 CS,196.00 CS,196.00 CS,196.00 CS,196.00 CS,196.00 CS,196.00 CS,196.00 CS,"2,666.00 CS"
Total Inventory Qty,01076,FP07,258.00 CS,258.00 CS,248.00 CS,246.00 CS,"7,504.00 CS","27,124.00 CS","17,161.00 CS",420.00 CS,419.00 CS,52.00 CS,52.00 CS,52.00 CS,"53,794.00 CS"
Total Inventory Qty,01077,FM02,,,,,,936.00 CS,,,,,,,936.00 CS
Total Inventory Qty,01077,FP07,199.00 CS,199.00 CS,197.00 CS,196.00 CS,196.00 CS,"9,660.00 CS","9,898.00 CS",33.00 CS,33.00 CS,33.00 CS,33.00 CS,33.00 CS,"20,710.00 CS"
Total Inventory Qty,01079,FP07,518.00 CS,518.00 CS,518.00 CS,518.00 CS,517.00 CS,,,,,,,,"2,589.00 CS"
Total Inventory Qty,01086,FP13,108.00 CS,108.00 CS,108.00 CS,108.00 CS,108.00 CS,108.00 CS,108.00 CS,108.00 CS,,,,,864.00 CS
Total Inventory Qty,01096,FP07,29.00 CS,29.00 CS,29.00 CS,29.00 CS,29.00 CS,29.00 CS,29.00 CS,,,,,,203.00 CS
Total Inventory Qty,01096,FP13,"5,254.00 CS","1,961.00 CS","3,624.00 CS","1,059.00 CS",710.00 CS,541.00 CS,481.00 CS,,,,,,"13,630.00 CS"
Total Inventory Qty,01096,FP14,360.00 CS,,,,,,,,,,,,360.00 CS
Total Inventory Qty,01099,FP07,227.00 CS,227.00 CS,226.00 CS,225.00 CS,225.00 CS,225.00 CS,225.00 CS,199.00 CS,199.00 CS,,,,"1,978.00 CS"
Total Inventory Qty,01101,FP07,80.00 CS,80.00 CS,80.00 CS,80.00 CS,80.00 CS,80.00 CS,80.00 CS,80.00 CS,80.00 CS,80.00 CS,80.00 CS,,880.00 CS
Total Inventory Qty,01101,FP13,1.00 CS,,,,,,,"4,893.00 CS","4,219.00 CS","1,256.00 CS","1,256.00 CS","1,256.00 CS","12,881.00 CS"
Total Inventory Qty,01106,FP07,77.00 CS,77.00 CS,76.00 CS,76.00 CS,76.00 CS,76.00 CS,70.00 CS,70.00 CS,70.00 CS,70.00 CS,70.00 CS,39.00 CS,847.00 CS
Total Inventory Qty,01106,FP13,7.00 CS,7.00 CS,7.00 CS,,,,,,,,,,21.00 CS
Total Inventory Qty,01107,FP07,"1,710.00 CS","1,710.00 CS","1,709.00 CS","1,708.00 CS","1,708.00 CS","1,708.00 CS","1,708.00 CS","1,708.00 CS","1,707.00 CS","1,311.00 CS","2,977.00 CS","1,545.00 CS","21,209.00 CS"
